fecha,objective,metric,first_metric_only,boost_from_average,feature_pre_filter,verbosity,max_depth,min_gain_to_split,lambda_l1,lambda_l2,max_bin,num_iterations,force_row_wise,seed,learning_rate,feature_fraction,min_data_in_leaf,num_leaves,envios,ganancia,iteracion,subidaKaggle
20221002 071127,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,375,TRUE,519427,0.009737766374,0.70728155,727,332,7228,27870000,115,2
20221002 065743,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,752,TRUE,519427,0.01023768498,0.7316065655,420,539,7398,27850000,109,1
20221002 070427,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,230,TRUE,519427,0.03434189115,0.673094577,346,587,8367,27750000,112,
20221002 070805,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,407,TRUE,519427,0.009630861526,0.5004781423,437,47,7259,27730000,114,
20221002 070559,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,134,TRUE,519427,0.03449827439,0.647572631,273,1498,7930,27580000,113,
20221002 024227,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,655,TRUE,519427,0.01310161167,0.9411394292,228,1875,6457,27570000,43,
20221002 045830,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,1064,TRUE,519427,0.003935210827,0.8543400682,1023,268,7253,27420000,76,
20221002 035859,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,902,TRUE,519427,0.002938342704,0.9435814041,101,1863,8631,27380000,48,3
20221002 001035,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,174,TRUE,519427,0.02480014459,0.9995553308,1007,1813,7515,27370000,31,
20221002 022920,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,76,TRUE,519427,0.01951674365,0.8854431917,99,676,6761,27360000,41,
20221002 040154,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,150,TRUE,519427,0.08566712167,0.4868637301,2753,674,7926,27350000,52,
20221002 051234,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,545,TRUE,519427,0.009943850511,0.8637200643,976,300,9887,27350000,82,
20221002 051445,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,447,TRUE,519427,0.01077407539,0.8687164104,1189,320,6733,27340000,83,
20221002 061215,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,140,TRUE,519427,0.06844481539,0.4962622867,1178,241,8496,27330000,100,
20221001 222231,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,289,TRUE,519427,0.01111852711,0.8844413329,184,633,7621,27320000,23,
20221002 055130,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,2468,TRUE,519427,0.002742019766,0.514785957,1231,16,8593,27300000,93,
20221002 071235,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,83,TRUE,519427,0.07341837111,0.4908253875,1248,720,8594,27300000,117,
20221002 045117,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,785,TRUE,519427,0.0102467314,0.8680448493,1667,1725,8763,27280000,73,
20221002 021007,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,137,TRUE,519427,0.03833646692,0.998772055,845,1675,8047,27270000,37,
20221002 060811,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,1024,TRUE,519427,0.002974001603,0.8272308805,805,201,8460,27240000,97,
20221002 062031,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,238,TRUE,519427,0.04189385282,0.7374160439,463,1042,8103,27240000,105,
20221002 061856,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,267,TRUE,519427,0.01221109907,0.6616693513,694,1658,6827,27230000,104,
20221002 040028,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,95,TRUE,519427,0.03971453652,0.9919739001,846,1810,7639,27210000,50,
20221002 065020,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,397,TRUE,519427,0.02869992459,0.6730965805,779,779,8284,27200000,108,
20221002 070226,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,698,TRUE,519427,0.009136237434,0.2956156307,183,457,7282,27200000,110,
20221001 232630,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,287,TRUE,519427,0.01045112309,0.9505723839,31,1616,7540,27160000,26,
20221002 033222,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,303,TRUE,519427,0.03407934821,0.9423924426,930,1709,9028,27150000,46,
20221002 071202,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,64,TRUE,519427,0.06920896763,0.5248692454,884,1987,8832,27140000,116,
20221002 020752,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,709,TRUE,519427,0.01246278155,0.9998898947,872,1371,8084,27120000,35,
20221002 071610,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,455,TRUE,519427,0.03346863473,0.5955456788,1642,1076,8529,27110000,120,
20221002 023114,binary,custom,TRUE,TRUE,FALSE,-100,-1,0,0,0,31,141,TRUE,519427,0.04502738398,0.9988395107,194,1803,7953,27060000,42,
