Feature	Gain	Cover	Frequency
azar_under	0.469689842567851	0.0231772622734446	0.0183282980866062
ctrx_quarter_normalizado	0.105539669090646	0.00705640576482427	0.00406847935548842
mcaja_ahorro_rank	0.0441965145666058	0.00664587714871871	0.00596173212487412
mtarjeta_visa_consumo_rank	0.027752944034496	0.00758868683729389	0.00507552870090635
ctrx_quarter	0.023953836745428	0.00293438453779447	0.00229607250755287
cpayroll_trx	0.0203710808193555	0.010446652618077	0.0054380664652568
mcuenta_corriente_rank	0.0183135269202292	0.00479988259236801	0.00656596173212487
mcuentas_saldo_rank	0.0115053528084422	0.00716273940849847	0.00878147029204431
mprestamos_personales_rank	0.00982144044311361	0.0121122487299114	0.00741188318227593
cdescubierto_preacordado_tend3	0.0059733806891723	0.00243065542152235	0.000845921450151058
vm_status01	0.00593042579170591	0.00135380831796156	0.000483383685800604
vm_Finiciomora	0.0054481460712615	0.00546032105160653	0.00209466263846929
vm_status06_tend3	0.00415373931696684	0.000890846316835057	0.000281973816717019
mpasivos_margen_rank	0.00406962176883683	0.00297848734259659	0.00527693856998993
mpayroll_rank	0.00401642394398333	0.00373727505438284	0.00294058408862034
foto_mes	0.00377364731162456	0.00635258562001036	0.0105538771399799
cproductos_tend3	0.00375432436762373	0.00267238119892126	0.00116817724068479
ctarjeta_visa_transacciones	0.00358103676764227	0.00366743129694967	0.0035448136958711
cdescubierto_preacordado	0.00351726128597313	0.00496658214865521	0.00185297079556898
mpayroll_sobre_edad_rank	0.00342203295798224	0.00831476443400921	0.00374622356495468
ccomisiones_mantenimiento_delta2	0.00320996613248134	0.00318237283697657	0.00173212487411883
vm_status06	0.00320474687731748	0.000321858395672002	0.000201409869083585
mpasivos_margen_rank_avg3	0.00299442666132426	0.00271821732626385	0.00374622356495468
vm_mpagospesos_rank	0.00298989547943439	0.00178379289071673	0.00205438066465257
ctrx_quarter_delta2	0.00296258567529493	0.00338004205455824	0.00495468277945619
vm_mpagominimo_rank	0.00283258481416604	0.00393251900343543	0.00314199395770393
vm_status04_delta2	0.00274086962766253	0.00124388161184122	0.000443101711983887
mv_status07_rank_delta2	0.00267046362875137	0.00200386045613502	0.000886203423967774
vm_status04_tend3	0.00241902089403772	0.000729846346884357	0.000241691842900302
ctarjeta_visa_transacciones_delta2	0.00234039291399591	0.00459824473391167	0.00245720040281974
ctrx_quarter_delta1	0.00232473391602368	0.00318533597357737	0.00515609264853978
vm_msaldototal_rank	0.0022831327521627	0.000741434605359974	0.00100704934541793
cdescubierto_preacordado_avg3	0.00222211558941692	0.00122806820409352	0.000845921450151058
mcuentas_saldo_rank_delta2	0.00221360608180638	0.00469165484919658	0.0054380664652568
mprestamos_personales_rank_delta1	0.00218224390526306	0.00915574115320895	0.00499496475327291
mprestamos_personales_rank_delta2	0.00216330284918055	0.00914414835667407	0.00350453172205438
mprestamos_personales_rank_tend3	0.00214533687368782	0.00393806840162011	0.0018932527693857
mrentabilidad_annual_rank_lag2	0.00208980443686475	0.00333089400834577	0.00704934541792548
ccaja_ahorro	0.00181269039752966	0.00627873691722841	0.00225579053373615
mcuenta_corriente_rank_delta2	0.00180190616534692	0.00297674472783953	0.00338368580060423
vm_Finiciomora_lag1	0.00176667706919013	0.00177863160464807	0.000563947633434038
cproductos_delta2	0.00176246772025681	0.00256263666346563	0.00124874118831823
mactivos_margen_rank	0.00175710220718427	0.00522836247433034	0.00777442094662638
cdescubierto_preacordado_delta2	0.00158177311702727	0.00193636482022346	0.000604229607250755
mactivos_margen_rank_avg3	0.00156747102828859	0.00400426031793478	0.00511581067472306
ctrx_quarter_normalizado_delta2	0.00154054103375352	0.00148849273053927	0.00310171198388721
cprestamos_personales_tend3	0.00151144277376733	0.00233745945941505	0.00080563947633434
vmr_mpagospesos	0.00142418447936319	0.000300383434846398	0.00080563947633434
Visa_status	0.00139953108352538	1.70548911032669e-05	4.0281973816717e-05
mcuentas_saldo_rank_avg3	0.00139948661270835	0.00550261900541026	0.00418932527693857
ctrx_quarter_normalizado_delta1	0.0013839420479052	0.003059648587636	0.0037865055387714
Visa_mpagominimo_rank	0.00135566114893516	0.00392243068159532	0.00467270896273917
mcaja_ahorro_rank_avg3	0.00133568288382328	0.00347588802717718	0.00410876132930514
cproductos	0.00131661728069063	0.00313043021065022	0.00261832829808661
vm_status06_avg3	0.00129890963716471	3.51334387174709e-05	8.0563947633434e-05
mcuenta_debitos_automaticos_rank	0.00129377661222014	0.00374394989126479	0.00257804632426989
mpayroll_rank_delta2	0.00123933389409315	0.00734092479278077	0.00334340382678751
Visa_Finiciomora	0.00120011309321299	0.00196481434594045	0.000644511581067472
cprestamos_personales	0.00112835443293962	0.00144450877967024	0.00136958710976838
