Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.180788772523797	0.00737863412004696	0.00513457484495683
mcaja_ahorro_rank	0.0853183371800965	0.00698281794817753	0.0068052797774726
ctrx_quarter	0.0383725264027991	0.00261790197227858	0.00270286818925326
cpayroll_trx	0.0356729095911697	0.00721047244638332	0.00392746866334858
mtarjeta_visa_consumo_rank	0.0318061973721847	0.00519541261901776	0.00495088477384253
mcuenta_corriente_rank	0.0234979856929408	0.00707587619818952	0.00901830777708773
mprestamos_personales_rank	0.0183691355104953	0.0164575725242971	0.00860719190364144
cdescubierto_preacordado_tend3	0.0171357131781223	0.00214444632345006	0.000795990308161962
mcuentas_saldo_rank_avg3	0.0166753284538641	0.00345641553258604	0.00408491729573227
mcuentas_saldo_rank	0.0148655879624274	0.007670760979755	0.00970933233032723
vm_mpagospesos_rank	0.0141369308519053	0.00101693171887828	0.00174942924870761
vm_status01	0.0131920962881528	0.00167042268919056	0.000682277406995968
cdescubierto_preacordado_avg3	0.0122078045429431	0.00461603276207681	0.00300901830777709
ctarjeta_visa_transacciones	0.0118147026717808	0.00479198836185488	0.00590432371438818
vm_status06_delta2	0.0110771794329838	0.000451972399177337	0.000183690071114299
mpayroll_sobre_edad_rank	0.0105565771863757	0.00888955993586555	0.00492464333511192
cdescubierto_preacordado_delta2	0.0100812428605275	0.00267600353550808	0.000988427525519799
mpasivos_margen_rank	0.00860598526893601	0.00296234426939046	0.00450478031542209
vm_status06	0.00835626194096674	0.00025381838125266	0.000139954339896609
mcaja_ahorro_rank_avg3	0.00776874769407433	0.00205677454671999	0.00322769696386554
foto_mes	0.00775001501667635	0.008620427261983	0.0129020407092186
mpasivos_margen_rank_avg3	0.00772619544604274	0.00168110960358894	0.00330642128005738
cproductos_tend3	0.00741561951640594	0.00282822009359932	0.00182815356489945
mprestamos_personales_rank_delta2	0.00741291083699807	0.0075442090076949	0.00385749149340028
ctrx_quarter_delta2	0.00723995684914105	0.00203280737949243	0.00322769696386554
mpayroll_rank	0.00640943287998073	0.00305066652630834	0.00236172948575527
Visa_Finiciomora	0.00550172200884417	0.00387187439712356	0.00145202627642732
ctrx_quarter_delta1	0.00494025160276528	0.0032196013401764	0.00370004286101659
vm_status06_tend3	0.00479402626627495	0.000358719412582658	0.000131207193653071
cdescubierto_preacordado	0.0047603743414202	0.00308444288282644	0.00237047663199881
mprestamos_personales_rank_delta1	0.00475416490242512	0.00919980243223068	0.00550195498718543
mcuentas_saldo_rank_delta2	0.00472992401951216	0.00302124807808506	0.00487216045765069
vm_status04_delta2	0.0046132278932693	0.00137609890470236	0.00071726599197012
vm_status04_tend3	0.00447446618057082	0.00133109932084885	0.000629794529534739
vm_mpagominimo_rank	0.00425843793021786	0.00405608539811866	0.00307899547772539
vm_Finiciomora	0.00404929779408647	0.00559173302833435	0.00230049946205051
mprestamos_personales_rank_lag1	0.00404658775340291	0.00170912617827375	0.0016794520787593
ccaja_ahorro	0.00403406645862616	0.0223772053151123	0.00795115593537608
vm_status05_tend3	0.00402864552340016	0.000335911127281227	0.000209931509844913
vm_msaldototal_rank	0.00402557585115134	0.000794383283424853	0.00133831337526132
cproductos_delta2	0.00395062565328865	0.00363262270629691	0.00254541955686957
mcaja_ahorro_rank_lag1	0.00373516042149936	0.00141692228664241	0.00244045380194711
vm_status06_avg3	0.0036277518032958	8.15049839461011e-05	0.000157448632383685
mactivos_margen_rank	0.00362241717907665	0.00552594725836035	0.00792491449664547
ccomisiones_mantenimiento_tend3	0.00347931778293357	0.00117046801396973	0.00100592181800688
